StudentID,StudentName,gender,Major,Minor,Username,Password
09-2622842,Niles Cordey,M,English,Sociology,ncordey1v,0e5ecb6f18b2a59920dfbf32b77af1273e61458016fdd56c2cc8a9dc27a2cecf
74-9225758,Sanson Westoff,M,English,Chemistry,swestoff1w,2bf4d929005a67fd152aa64845b110afde460e6d9a8c376dc0a5f83817cefee4
81-4800614,Nollie Skeen,M,Chemistry,Computer Science,nskeen1x,f8a8a728b97f9dfbb1dafa40f8dcea3df859a37ab164c035b1fc17cdca46851a
22-3952413,Sophey MacGahey,F,Computer Science,Chemistry,smacgahey1y,6fb9cd90f7530721868caea1a5dcb6b8dd00d8431fbdcd9717f727d132a508b3
54-9471639,Powell Husselbee,M,Political Science,Biology,phusselbee1z,b0d3a5a5562cfcd6208b5e8d1fe25030410bef08c3ce0ba1f70956f1c986a554
63-4590945,Gennifer Genny,F,Physics,Chemistry,ggenny20,4dba6eecf3707cb85ecea448fde56b2d5c9fb303aa142d5d41b963fbe08c1853
09-5644455,Marty Gerrey,M,Statistics,Economics,mgerrey21,931a1cb4e9bb39308a288dfcae36d1ec7c01b4e3b2630b4be503c58355155e46
65-4699302,Erminie Rotherham,F,English,History,erotherham22,0ef16584672fa0865ac74985cbf642dfcad7174ad800d1ea21550835aa1d1999
07-3530425,Somerset Newcombe,M,Anthropology,Philosophy,snewcombe23,3b67e79e84224b3c3cab87e4f6ee8a4c4686309a3b93fe8fbc968f34dc46612d
25-5855251,Clea Berka,F,Sociology,Computer Science,cberka24,7a0dba4bcd71d226da69f6989af928b46ba3b55c4dca11deb2c85a39c6779d80
13-5218702,Robbert Coton,M,English,Biology,rcoton25,4f009b43494ae9d4ad7c6f034c7129653a9562f947dbafcb3584fddbac0123aa
67-5781073,Karel Kingzett,F,History,Physics,kkingzett26,b853c98086abc6cd1f3d7d1b7d5d4c7ae6aa7cc23665d9c3a1e29be6e64c8186
28-9710045,Sue Christene,F,Statistics,Computer Science,schristene27,44820bbe564edcff1faf225fe70d88074d5dccfd52097cb5655bb915a376b631
61-3743308,Oliy Finlater,F,Philosophy,Biology,ofinlater28,18c1914b749f074f00684e7bfaf1c577f3f3fb695bc5a42dc8a62fc64a6e7eb6
59-4320814,Alicea Stainfield,F,Political Science,Chemistry,astainfield29,55967954dc8fd14e855ce7a8298691948ba63571347b751c8883d282b214503d
38-5193074,Newton Nason,M,Anthropology,Statistics,nnason2a,8559800156ce15e2663ae26c8c4fd1129bb424dbe074247daea1a6539f78162e
36-9483412,Frederick Grigaut,M,Anthropology,Sociology,fgrigaut2b,8278a5def3af490fed31186cda8008759d0fa0e2167da2e26921c60960b21042
20-4111944,Bayard Arlt,M,Mathematics,History,barlt2c,e5eb4fc62e81a39092d389530b0f731f25cc6993cf00c67a710e77f626cf9fc6
49-6703180,Genia Plum,F,Biology,Sociology,gplum2d,88caa1a6dc2ee9b46f21622ead7f80b76fc56ea514df71feee3ddf541c62215d
76-3188375,Pauletta Rankin,F,Biology,Economics,prankin2e,301492efc8404b267e07d9091920642d0a46978ffdbb11df67a8868a7a977128
40-6685604,Gayel Standering,F,Statistics,Physics,gstandering2f,39fcb195520d2e65c45ae48384fc3c887990e15b529cd8d9384232bdb7692dfc
29-4337759,Binny Sackler,F,Chemistry,Computer Science,bsackler2g,ee28279ca1165f5b7cd715ca3f4b85236736433f1357af111134ba45eac00e76
04-1568342,Jodie Lettice,F,Economics,Anthropology,jlettice2h,effc9a0697adc78b58c39eaccd361d1118bd1012848cb23365a6493986a38f39
85-7631703,Obie Toone,M,Biology,Political Science,otoone2i,040cf47bf894908e7e1ac5bb6d3945bdb44265a6eefbccd9c6e3bfaf22cda548
99-4332038,Alys Castri,F,History,English,acastri2j,69263efe445afe174f63dbb3ace243d288219e244608b312de27aa99ae77b574
21-9953981,Vidovic Witcher,M,Physics,English,vwitcher2k,7eff2170e3aa7d2e192a93a581ce6b98eaadcb960de813cd52d1530affd19e90
04-3018627,Davine Sivyour,F,Philosophy,History,dsivyour2l,5644f86914b2a8c02bacd6c7e3c9aecf6607f422c87c58cefa667287e64b4062
70-4962231,Abra Rochelle,F,History,Psychology,arochelle2m,b1e03544a4219f222e7ef646b28e2b2aadd443ac382260e61fd06afaacb0d016
44-5060612,Ashley Hehl,F,Biology,Chemistry,ahehl2n,0389de10b877a9a3ede524f3d63131503fddad9825a8ba938fcd67a453b8f204
65-0045255,Costanza Heibl,F,Chemistry,Sociology,cheibl2o,be6424ece918d69df1bf7a15affa3a6c15426cefc45d33a9aa72c0defb4a91fd
32-3399639,Cori Picheford,F,Anthropology,History,cpicheford2p,eef42ae70a615f50330fa20e57d1e8fbdc2e04b47b07abe9c3124dbea1994efe
80-6119530,Vincent Broomhead,M,Statistics,Sociology,vbroomhead2q,fcbc898c764d217231197d90cb420402a3bcce2953ff9689b0cfa9df3c4282e7
75-1269707,Riane Swyer-Sexey,F,Economics,English,rswyersexey2r,19d4c8d2d50c998816780819df179f96a487be3f8e9929a686172a509a9cb143
83-9030380,Nikolaos Barradell,M,Mathematics,Physics,nbarradell2s,6dd178d44c863f9d77e9553c32793b497df7b48272a81568ea4c07fcfd06e77a
13-0404473,Bridgette Millea,F,Anthropology,Mathematics,bmillea2t,11106a45962852ef6e198e58f00f99495baf00ea6e613a1e31ea656af21d8564
26-8031857,Franklyn Stelfax,M,Mathematics,Psychology,fstelfax2u,5ae983ca4ac2773d9eb9011dd1689977aaa3fc7bfb35edc65277a54bd31fdda6
63-4719723,Afton Rennicks,F,Political Science,Mathematics,arennicks2v,1cc4aa3534ba0c871bad5be8ef6cedc0ea5b5fb7420c0aa28bdd9e4b42a53d7f
47-2137950,Gib Dungey,M,Biology,Statistics,gdungey2w,2cbd1e0a21efc4616cc3e79051374314116b1a663273580373de2095db008e12
17-4226884,Audre Sloss,F,History,Psychology,asloss2x,dad2a4f8f28f2832edd75848955d536926410878e43a9112a8020b5838d8cc5f
36-8760812,Lorelle Coey,F,English,Physics,lcoey2y,0e5f5ed47356b1b22cd14fb527d02fac47e7b0f8d5554e1c2d81030bbf81d87f
29-0314671,Blaine Tuckwood,M,Philosophy,Sociology,btuckwood2z,9d8f273223564ed806242873f81e400cf1565a9d3210f87c06a49ff3a8ef9809
88-9069887,Emmy Tailour,M,Psychology,Computer Science,etailour30,d671c1ed50763ffdd2c9d099f1c12f36118d8f9b584b93577defdd2996f784a2
32-8975830,Wright Mallion,M,Economics,English,wmallion31,ed4355ce52019b25904fad666c21e38d0e8a9659b4b031e9bbe08fbdc537235c
75-9334502,Marylee Woolrich,F,Chemistry,Computer Science,mwoolrich32,5f569c7719389026adf48cee72b7116748540fa06839616f2607c4f84b9cb5d7
19-5829884,Thorpe Monroe,M,Philosophy,Computer Science,tmonroe33,2b0d4da576bf3a99880cf4a0f3130fbaa4ee88cfa82032178960d9cbd2bd94b9
89-3033459,Mata Overell,M,Statistics,Biology,moverell34,cc03a4cbe7603ab3002865f4a1d01d63f261c75550180713d8334ce00dfb4efa
63-5611563,Hurleigh Scadden,M,Biology,Mathematics,hscadden35,9d2ea0102365975b068c1743dde886feb54e98d135373a61f49d30e3e01891b9
16-6695309,Ilaire Stud,M,English,Psychology,istud36,f7d1fbe8afb19384739f66c55456759672c7e70334dcdc7cf163dd19015c69b9
41-9163449,Hendrick Edgington,M,Psychology,English,hedgington37,0d713c2071a8ad6617a5c406bb22d1b7a83d2b93ccc95bdde0636dc1dd5ab848
51-7887966,Tory Dawby,F,Computer Science,Economics,tdawby38,d7938cd6bc3b6c16347d34943fcbfa0511f14b7c31390747c718d40f2aedf2a1
37-2806125,Xenos Coorington,M,Political Science,Anthropology,xcoorington39,588931edeb209f95876274d67f95fa3c00959c252872a16fefd8b988fb2cf197
82-8003624,Teresa Beardow,F,Psychology,History,tbeardow3a,6544a3bd255debbd0ed26d9ce3aca45c40ef73ebb3db2b7a20dca2348f5cd986
38-0715680,Natalie Jannings,F,Biology,Mathematics,njannings3b,00beb07975668e24329c770a01124d0c7ac0d24d34bc76d28c1337ad6e183acc
74-6654151,Raddy Sleite,M,Statistics,History,rsleite3c,9a2bf2914036a7700046b0a4c7c3612ffa5e93e47f7c2f67562dab81e8175ee1
77-5983361,Arron Lorant,M,Physics,Political Science,alorant3d,b22703adce8b6732d8fe44f1d172c578696373e0729f790e62f9c4c8d75391fd
49-7641100,Aleta Fairhall,F,Psychology,History,afairhall3e,c2bbf4199959f39c04bb3342e2d1d674713c680ba5aa896e5ecd6f68d44b90f4
24-4875613,Carolina Di Ruggiero,F,Physics,Economics,cdi3f,eb51af0ec5ca417e3dcdd4d0beba400667ca940c2fc9760a1249d4ea00accae8
00-6833526,Salvador Waterdrinker,M,Philosophy,Statistics,swaterdrinker3g,4774f3e31f89a619080134b1934e8f84448832b28d7cf89e58f44ac5d0de4997
72-0359962,Gabriellia Bortolini,F,Anthropology,Political Science,gbortolini3h,12257fd35735d2c6a464220dfbfae1e2ba624f2f273dedbfc434bce9d8d802fe
76-7408331,Yvette Rollason,F,Physics,Chemistry,yrollason3i,7f5dbeed76eedb35ec97d340a64c2804b103e6fe4035e7a292e47ee7395266b9
87-6398851,Boyce Cowle,M,Chemistry,Psychology,bcowle3j,8266b4d5d0680b83bfd10b828527e68dfd66bf5eff554d2207489a5ddadd5d51
37-3758491,Neila Pavlata,F,History,Mathematics,npavlata3k,1726809ed74132ce4e1f7fb64e7238529c97973a08d6d9a9c37b6a521b5b5896
46-9911817,Carrissa Limerick,F,Anthropology,Mathematics,climerick3l,f65e28ae054cdfc5e8eee512038198830c85892e9d41d4113bea22a8f78dacfa
29-5688304,Hephzibah Bowness,F,Sociology,Economics,hbowness3m,dfca8fc2b943ee914a672592cf33f1ed06bc4872523b0f3a4f86499bed8364c5
58-3626129,Ryann Gathercoal,F,Political Science,Chemistry,rgathercoal3n,a41b59f1649cb00cb18705c9f789e95ee414f3bb6ad85f5c8b4c7b7fdb74e790
14-7688250,Lorianne Skatcher,F,History,Statistics,lskatcher3o,0f6c2e0b05fea17d6e1b17e8052c263ab95b5c3bb75479b7850354436a27d25f
36-0488621,Nolan Renon,M,Political Science,Psychology,nrenon3p,1a90e316e2efc6c97edf76080d94620f77e9d75ad8f2019041968c0d2be3afda
52-8425087,Kaleb Phizacklea,M,Psychology,Philosophy,kphizacklea3q,cfb8b10fdb643e6e3dd539f453b65b29d121b0911e7e537af2295b27c709ad02
13-1950650,Charyl Buncombe,F,Sociology,Mathematics,cbuncombe3r,c7fe324c5bc07632d30ebd11b60f3ae1789e3037dc8161e860a5579ab3b00bcf
88-3718806,Aila Lethley,F,Sociology,Psychology,alethley3s,2f33b127ec73a26bbbc89b3a255b4271b51a37a2645956f519210ace5be8decd
62-8883625,Sinclare Hubner,M,Philosophy,Statistics,shubner3t,9e5946e42821840f2420d0737b9c030bb44e0b5652b4f83eca1c3fbf97ce82e0
56-1048724,Blakelee Keener,F,Philosophy,Physics,bkeener3u,57f3c5fe08faeccde017e39c6e6be1932ad2679a219ccd74e565f4ce948685f6
22-0170518,Laurette Leney,F,Biology,Chemistry,lleney3v,7de3baad80f83632cd29abfb34b735406a85832ee8db64aaa7d7dbbadb01d684
14-8240972,Prince Sherrell,M,Physics,Economics,psherrell3w,77d1f1cad41f206b81b10f1c212cd063815a889e3148cea4adc746c292d8e8d5
42-0920801,Wendy Wordley,F,Political Science,Statistics,wwordley3x,176e932deb205f03b03202dbf579aef51a35d694d508bd5581dbb199eea1125c
92-3178234,Bren Realy,M,Biology,History,brealy3y,462cd3e4d09cd9f3b6eb50262297272d3fcf053bf405093f3cf4995f764450c0
15-7424674,Artair Randleson,M,Psychology,Biology,arandleson3z,225ad351e03f1325760b8896eb5113652cd16ee6381490c8fdc512d14f897fc3
34-4740758,Maynard Lidstone,M,Economics,Chemistry,mlidstone40,5207e1869544a59391dcd038ff5d28f89b02c77646960c5310bf84e64ae77eb1
57-4287699,Willetta Davenhall,F,Biology,Statistics,wdavenhall41,e3dac89b87a5c9fcba3560bf14cf5c72aeb4398f2dba13412c5780bb8c4d6144
47-5470137,Mabel Cranton,F,Psychology,Chemistry,mcranton42,8d5d7df57f3f0d31d336a3272a37c55e687cdf4814838c1524082f6f0b2237cc
15-4340206,Urbano Goghin,M,Mathematics,Psychology,ugoghin43,04efafb51bd9afc1837798c5bf92580dd33365ac68377021736c5ead2c9dd7e1
22-1377679,Pippo Bickersteth,M,Biology,History,pbickersteth44,2fe5f8fc8bd0a81c3fa96c4d52ef2962a5c1ad072412f4567f149839a6209bf3
29-7326503,Lauritz Stackbridge,M,Philosophy,Political Science,lstackbridge45,ede6bcb03f0b1c417e949e1c00dcb589b58113e18f866c0e9dce842538229691
12-4450224,Broddie Cobbe,M,English,Computer Science,bcobbe46,22c534e9a6f49f4a95a73740a82188c5a8e4c1897c7ca92c7d60400a7a29dacf
44-7871545,Correna Tilson,F,Psychology,Philosophy,ctilson47,ca1f6a58c757f74680ec83553723f0de7ff6e7dc631b453a0e82352175ad9325
46-6611693,Gherardo Pavluk,M,History,Sociology,gpavluk48,bd1eec463b960fe2e29d93416ca6fcde49b84d3d6ebd4ba7a3a8e108ccd8a90c
62-5789262,Everett Blanchette,M,Statistics,Psychology,eblanchette49,3cc0010623f884e618593cb193fac5a1dac6dc07bbb31b21795a8f8aaf5adf7a
34-5253941,Neda Gress,F,Chemistry,Physics,ngress4a,dcadacdcf724f38084898e83c8858c1ce828b61e7518878b9f5761bc37a0faa2
22-5948673,Emera Marunchak,F,Philosophy,History,emarunchak4b,af70261a7265e3770c933b9b86815614b2290dea4d97ad8c49b4587ebbd6db2b
10-7173602,Kingston Cliss,M,Statistics,Chemistry,kcliss4c,39afdb129ad9555740910aa36e70628ac2dd669fac755e0478a0adb5558f25b0
32-6998048,Vida Mackie,F,Philosophy,Political Science,vmackie4d,9c429a6faf0a5f26fb2f8c30f4980c927276201162cdcc40e34c0ffc080f4b8a
78-1909316,Sigismondo Tommeo,M,Statistics,Chemistry,stommeo4e,5853210c1e8e54f8c62dc252d4ecf77451caf59436d9cbd2b6dca912cc1aebce
06-8760348,Amalia Deverick,F,Economics,Anthropology,adeverick4f,d211038f6e379b69e25584d8e51438b4f94a82d755554234ba948843851686d2
08-3151576,Cairistiona Stanluck,F,Statistics,Sociology,cstanluck4g,507d400d0e7f417ed25e2afeaaaa7094558e847f8d438f630c1fb1a4d94cba0c
31-5028891,Si Lowen,M,Anthropology,Psychology,slowen4h,f915565691590812252099ed9f6a48530b0f0d3bbc71ba74aa4c4d1f3a8f6655
69-7091677,Dmitri Renoden,M,Mathematics,Statistics,drenoden4i,664a952cc5fadcf685400c7f5dfdc1c1749255edd855f2d58a74710987b9b7b6
66-4653990,Consuelo Ladloe,F,Anthropology,Chemistry,cladloe4j,d81a037f22820841f16e17983380cc0020c73834113fb659f4dc429716d3346e
13-1617482,Daune Scutcheon,F,Political Science,Mathematics,dscutcheon4k,fa2433b6be850f925223f0f0cd915e9f82b7f76681f09d8b5fa1a7a14cd90b39
07-4464125,Deena Rowell,F,Mathematics,Statistics,drowell4l,adb206583664b166308040bffb8af851c10973a78918b7b02328afbc4db1bb9c
99-2581222,Vaclav Feilden,M,English,Computer Science,vfeilden4m,8a2466edd07b58dadc5a3032d2401b7cbd631d9dc9bfd186d10faa8634dc2f24
03-5567402,Forrest Fuller,M,Mathematics,Computer Science,ffuller4n,184c97fda1cbe8a59d8b7e73c21097d09ca2aa23e01c6a3a61ff6caf9302c2bb
63-8267194,Giorgi Coulthard,M,Physics,History,gcoulthard4o,9b7b332b40dfea998e566b914e346dd82436219beb293fbd04a2490d5eabbaa2
18-1806988,Tilda Adamec,F,Physics,History,tadamec4p,c8c4792f98e0b9c68a5b48066dbde7fd4839c7e5e9c17241e157212b4148bd1c
78-0726898,Cully Blandamore,M,Sociology,Chemistry,cblandamore4q,b23b2031fb3e766d021616720ecea1db9cb91c5115158e65a59bfc6db304c451
51-8621864,Rochell Shafto,F,Psychology,Economics,rshafto4r,c32754c3f8d5be399acd6c593b84b1f1e1bcbe04d71826595cdc8240d0b9404f
01-3514442,Garrott Shemelt,M,Chemistry,Political Science,gshemelt4s,ee267045f333a7feef8284b7ec7551d82cf8a9c43f19abde9df5ed2d4a1f95c0
35-9659386,Lettie Baudains,F,Political Science,Anthropology,lbaudains4t,60d54b39ef24034fe31d1cea667a94a0a48eb888a9e3274a44dc510a442d4818
98-4840504,Winn Humbee,M,Physics,Philosophy,whumbee4u,eaeb37539997eabcf3802dfe5b24679c7f7a927ad1aae0c81eab65324cf18e52
26-6888256,Larina Redparth,F,Physics,Statistics,lredparth4v,ca1be18d7e9e7af441ad606e80f7580fa44f7966d26ebbee894dba2a71dcd5e9
92-8521552,Ethe Bulward,M,Sociology,Chemistry,ebulward4w,b827857ffeeb23bd1061fe8baf674d222c276395d9485f02175c2c87224b9971
44-8965640,Martino Drinkwater,M,Biology,Computer Science,mdrinkwater4x,33c0170874814638a665ba3868dada9b832bf910751583e07df41c35ddf12370
41-4124009,Rawley Moreton,M,Physics,Statistics,rmoreton4y,24457e1097a55b55b6ce639fabc3e6624e1778275d02918dcc3ff008fbd6e23c
17-8513967,Chloette Simson,F,Anthropology,Biology,csimson4z,22c7e9002c4f4ec1e1aa28fcbc5f0d913ec30e3c16d81fa558f6d468882060d4
51-8889884,Noami Bodsworth,F,History,Chemistry,nbodsworth50,64886b621589bee4e6de2cc97764b7067e6c8a37d2c6956120e66f366917291e
51-1918177,Latisha Lowdiane,F,Mathematics,Economics,llowdiane51,c0a4b36d1b21ef712724f089a3f0675b89fd2a6dcb3800988edf320c6d259757
